qdate,y_001m,y_003m,y_012m,y_024m,y_036m,y_048m,y_060m,y_120m,inflation,FFR,D12,E12,Index,AAA,BAA,LTR,CORPR,TBL,AHETPI,CPIAUCSL,DSPIC96,HSN1F,INDPRO,M1NS,NAPM,PAYEMS,PCE,PPICRM,PPIFGS,TCU,UNRATE,output,employment,house_orders,money_finance,price,real_activity,nominal_price
19720131,3.259,3.442,4.124,4.802,5.328,5.476,5.715,6.1531,3.258145363,3.5,3.07,5.7367,103.94,0.0719,0.0823,-0.0063,-0.0033,0.0338,7.654007712,3.206193246,3.326293433,12.17306453,6.619471104,6.414143687,59.6,2.203688341,7.883899646,8.269171585,2.719574281,82.7,5.8,-1.163392689,-0.374206268,-1.599941761,-0.91597575,-0.623226654,-0.695426357,-0.623226654
19720229,3.361,3.452,4.288,4.766,5.242,5.438,5.661,6.1372,3.759398496,3.29,3.07,5.7733,106.57,0.0727,0.0823,0.0088,0.0107,0.032,7.612369547,3.690455694,3.772989071,14.01839723,7.740003222,6.590832448,60.6,2.575129921,8.051701063,5.947698664,2.948616565,83.2,5.7,-1.35125038,-0.504174718,-1.511415199,-0.702697938,-0.570449221,-0.853997749,-0.570449221
19720330,3.615,3.933,4.934,5.524,5.776,5.871,5.995,6.1792,3.5,3.83,3.07,5.81,107.2,0.0724,0.0824,-0.0082,0.0024,0.0373,7.571182174,3.440142672,3.734142894,-6.20941298,8.60272284,6.831488447,59.8,2.901374552,9.429897665,7.350246199,2.699550434,83.7,5.8,-1.549020688,-0.680219435,-1.487010604,-0.41227371,-0.535306154,-1.040013887,-0.535306154
19720428,3.442,3.708,4.51,5.108,5.524,5.64,5.794,6.1501,3.49127182,4.17,3.07,5.8633,107.67,0.073,0.0824,0.0027,0.0035,0.0371,7.810158769,3.431709292,3.458901758,3.269236169,9.06046289,6.766709089,59.3,2.948896063,8.878413844,7.232066158,2.451103101,84.3,5.7,-1.60304317,-0.744471527,-1.462259065,-0.340891968,-0.525006371,-1.108797004,-0.525006371
19720531,3.584,3.882,4.627,4.944,5.377,5.557,5.711,6.1326,3.225806452,4.27,3.07,5.9167,109.53,0.073,0.0823,0.027,0.0163,0.0369,7.232066158,3.174869831,3.824098252,9.118281545,8.514770171,5.944099872,61.4,3.068361281,9.257707603,8.770558042,2.439145312,84.1,5.7,-1.619457983,-0.762146247,-1.604248422,-0.380451922,-0.703394178,-1.121028307,-0.703394178
19720630,3.788,4.148,5.248,5.432,5.698,5.851,5.905,6.1242,2.962962963,4.46,3.07,5.97,107.14,0.0723,0.082,-0.0065,-0.0068,0.0391,6.93611278,2.919915469,1.912897812,6.153478844,8.365541761,5.75322037,58.6,3.457965572,8.509670419,8.470669747,2.67330622,84.1,5.7,-1.34599239,-0.878953137,-1.452073434,-0.457120391,-0.90191385,-1.079161556,-0.90191385
19720731,3.656,3.943,4.946,5.244,5.663,5.858,5.887,6.1415,2.955665025,4.55,3.0733,6.0267,107.39,0.0721,0.0823,0.0216,0.003,0.0398,7.174390486,2.912827292,4.295638555,-3.605293134,8.626701107,6.033712655,60.1,3.300420226,9.719018425,10.81421586,3.406655456,83.8,5.6,-1.545755279,-0.829507861,-1.629562749,-0.532866006,-0.797286328,-1.132151168,-0.797286328
19720831,4.51,4.64,5.482,5.63,5.888,6.113,6.079,6.3556,2.948402948,4.8,3.0767,6.0833,111.09,0.0719,0.0819,0.0029,0.0072,0.0402,6.862850639,2.905773448,4.727222214,15.95555141,10.51348959,6.534879206,61.7,3.806514331,9.690425635,11.84035755,3.144152583,84.7,5.6,-1.93569956,-1.054895996,-1.856638256,-0.441543548,-0.804913503,-1.434309743,-0.804913503
19720929,4.602,4.64,5.644,5.787,5.928,6.005,6.051,6.3412,3.18627451,4.87,3.08,6.14,110.55,0.0722,0.0809,-0.0083,0.0031,0.0466,7.098906124,3.136565928,4.895769459,20.47351516,9.632939937,7.064781601,65.1,3.630580797,9.165289015,12.61512853,3.619212859,85.1,5.5,-1.828684426,-1.043294395,-2.151975539,-0.355524451,-0.358628212,-1.385052048,-0.358628212
19721031,4.652,4.856,5.537,5.754,5.933,6.083,6.09,6.2884,3.178484108,5.04,3.1033,6.2333,111.58,0.0721,0.0806,0.0234,0.0101,0.0474,7.585334252,3.129015799,6.97714273,26.46206635,10.25884336,7.480121308,67,4.142369504,10.50678307,11.65612884,3.144152583,86,5.6,-2.041311187,-1.124509227,-2.360194974,-0.254718475,-0.203412049,-1.515114707,-0.203412049
19721130,5.101,4.979,5.392,5.64,5.806,6.01,6.004,6.2207,3.414634146,5.06,3.1267,6.3267,116.67,0.0712,0.0799,0.0226,0.0249,0.0478,7.565536124,3.357629553,7.849284608,3.460552918,10.99948042,7.937007699,69.9,4.252423622,10.49868468,12.67517056,3.610500464,86.8,5.3,-2.193584766,-1.322496058,-2.328885652,-0.245965657,0.07878024,-1.705999705,0.07878024
19721229,5.01,5.246,5.525,5.916,5.989,6.06,6.167,6.276,3.406326034,5.33,3.15,6.42,118.05,0.0708,0.0793,-0.0229,-0.0004,0.0507,7.238300766,3.349595443,7.641960383,11.3743279,10.98692128,8.811240532,70.5,4.291665391,10.16148075,16.33250561,3.819079873,87.5,5.2,-2.220329904,-1.38763107,-2.436877284,-0.103099642,0.135240319,-1.759043563,0.135240319
19730131,5.724,5.801,6.144,6.209,6.277,6.371,6.299,6.39,3.640776699,5.94,3.1567,6.5467,116.03,0.0715,0.079,-0.0321,-0.0054,0.0541,5.876530923,3.576066388,7.666677682,11.23560471,9.291723319,8.71532109,72.1,4.289314519,11.00264607,17.43533871,4.762804899,87.8,4.9,-1.892820026,-1.391847027,-2.531370112,0.331064548,0.249734463,-1.629936649,0.249734463
19730228,5.793,5.976,6.404,6.517,6.58,6.609,6.589,6.5001,3.8647343,6.58,3.1633,6.6733,111.68,0.0722,0.0797,0.0014,0.0023,0.056,5.599426935,3.791923486,8.096772243,3.591546239,9.856325382,8.17551231,69.6,4.52760806,11.50546033,21.20587189,5.189843813,88.8,5,-2.028280105,-1.496470062,-2.369776058,0.662634146,0.271267612,-1.743348832,0.271267612
19730330,6.089,6.584,6.93,6.799,6.696,6.632,6.647,6.5815,4.830917874,7.09,3.17,6.8,111.52,0.0729,0.0803,0.0082,0.0045,0.0609,5.571060701,4.717856028,8.202522612,12.47034785,9.121233056,7.120592943,69.6,4.478370269,10.58795503,25.77097989,7.237696947,88.6,4.9,-1.772813922,-1.467911413,-2.306355211,0.801678503,0.660264793,-1.62603669,0.660264793
19730430,6.16,6.409,6.701,6.631,6.631,6.55,6.568,6.5878,5.301204819,7.12,3.1867,6.9433,106.97,0.0726,0.0809,0.0046,0.0061,0.0626,5.542980494,5.165467486,8.338762088,-3.420407777,7.931628343,6.969615585,67.7,4.402558327,10.50821469,25.81814081,7.911100165,88.1,5,-1.384793864,-1.383154549,-1.978786084,0.752300444,0.950122536,-1.412473005,0.950122536
19730531,6.822,7.078,6.944,6.729,6.617,6.542,6.594,6.6316,5.528846154,7.84,3.2033,7.0867,104.95,0.0729,0.0806,-0.0105,-0.0039,0.0636,5.773246667,5.381415281,7.836291749,-2.543143789,8.623077687,7.705673949,64.8,4.236109289,10.48340613,28.95886507,8.096906253,88.4,4.9,-1.453236044,-1.360727826,-1.956760139,1.095651312,1.158961125,-1.429822118,1.158961125
19730629,7.63,7.697,7.556,6.964,6.879,6.71,6.717,6.669,5.995203837,8.49,3.22,7.23,104.26,0.0737,0.0813,-0.0021,-0.0056,0.0719,6.001800973,5.822366028,7.940313898,-5.536192933,8.402591945,8.248328096,65,4.150722607,10.31713988,33.35673689,8.721119715,88.1,4.9,-1.450370224,-1.402554404,-1.916293074,1.303222976,1.57624059,-1.456619309,1.57624059
19730731,8.557,8.528,8.626,7.961,7.793,7.831,7.639,7.3134,5.741626794,10.4,3.2367,7.3833,108.22,0.0745,0.0824,-0.0433,-0.0476,0.0801,6.213178111,5.582844955,7.284171643,-12.49673716,8.867865061,7.646523226,57.8,4.252400077,10.39865152,27.19337155,8.261576552,88.2,4.8,-1.316413952,-1.431024699,-1.661683063,2.013156737,1.410186702,-1.422890052,1.410186702
19730831,8.724,8.877,8.367,7.657,7.245,7.127,7.049,6.9764,7.398568019,10.5,3.2533,7.5367,104.25,0.0768,0.0853,0.0391,0.0356,0.0867,5.942342047,7.137666284,6.055925638,-31.16849704,7.387085691,6.840618916,62.7,4.00442126,9.455085615,46.4092895,11.24779834,87.8,4.8,-0.828453814,-1.239635828,-1.656975802,2.092843429,2.02416065,-1.105085974,2.02416065
19730928,7.59,7.139,7.66,6.959,6.603,6.584,6.539,6.7629,7.363420428,10.78,3.27,7.69,108.43,0.0763,0.0863,0.0318,0.0356,0.0829,6.152001062,7.104934615,6.206824747,-31.27658958,7.545706467,5.860424699,63.5,3.976795723,10.70442754,40.79312006,10.55974544,88.3,4.8,-0.95080514,-1.2062936,-1.36163254,2.154472241,1.738616408,-1.129474356,1.738616408
